Date,Number_of_Vehicles,Vehicle_Speed,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Chainage(km),Accident_Severity,No_of_accidents
01-01-2017,1,90,1,1,1,7,1,2
01-01-2017,1,90,1,1,2,17,3,1
01-01-2017,1,90,4,2,2,43,3,1
01-01-2017,1,40,4,2,2,45,3,1
01-01-2017,1,60,1,1,2,39,2,1
01-01-2017,1,60,6,1,1,11,3,1
01-01-2017,1,90,1,1,2,12,3,1
01-01-2017,1,90,4,2,2,2,3,1
01-01-2017,1,90,4,9,1,44,2,1
01-01-2017,1,20,4,1,2,18,2,2
01-01-2017,1,90,4,2,2,43,3,1
01-01-2017,1,90,6,1,2,33,3,1
01-01-2017,1,90,7,1,2,12,3,1
01-01-2017,1,50,4,2,2,12,2,2
01-01-2017,1,70,1,2,2,34,3,1
01-01-2017,1,70,4,1,2,28,3,2
01-01-2017,1,70,4,2,2,34,3,2
01-01-2017,1,70,6,2,2,43,3,4
01-01-2017,1,70,6,6,4,48,3,1
01-01-2017,1,20,1,1,1,49,3,1
01-01-2017,1,20,4,1,1,45,3,1
01-01-2017,1,20,4,1,2,8,3,1
01-01-2017,1,20,4,2,2,9,3,1
01-01-2017,1,90,1,1,1,29,3,4
01-01-2017,1,90,1,1,2,50,3,2
01-01-2017,1,90,1,2,2,39,3,1
01-01-2017,1,90,1,5,2,44,3,1
01-01-2017,1,90,1,8,1,34,3,1
01-01-2017,1,90,1,8,2,8,3,1
01-01-2017,1,90,1,8,4,47,3,1
01-01-2017,1,90,1,9,2,30,3,1
01-01-2017,1,90,4,1,1,38,3,5
01-01-2017,1,90,4,1,2,23,2,16
01-01-2017,1,90,4,1,4,31,3,1
01-01-2017,1,90,4,2,2,6,3,8
01-01-2017,1,90,4,5,2,21,3,1
01-01-2017,1,90,4,8,2,30,3,1
01-01-2017,1,90,4,9,1,15,3,1
01-01-2017,1,90,4,9,2,48,3,1
01-01-2017,1,90,5,2,2,40,3,1
01-01-2017,1,90,6,2,2,6,3,1
01-01-2017,1,90,7,1,1,17,3,2
01-01-2017,1,90,7,1,2,40,3,1
01-01-2017,1,40,1,2,2,30,3,1
01-01-2017,1,40,4,1,2,24,3,1
01-01-2017,1,40,6,5,2,45,3,1
01-01-2017,1,50,1,1,2,1,3,2
01-01-2017,1,60,1,1,2,20,3,1
01-01-2017,1,60,5,1,1,6,2,1
01-01-2017,1,60,6,1,2,50,3,4
01-01-2017,1,60,6,1,4,18,3,1
01-01-2017,1,60,6,2,2,28,3,4
01-01-2017,1,60,6,7,2,16,3,1
01-01-2017,1,60,6,8,4,14,3,2
01-01-2017,1,60,6,9,2,17,3,1
01-01-2017,1,70,4,1,2,8,3,1
01-01-2017,1,90,1,2,2,29,3,1
01-01-2017,1,90,1,9,-1,26,3,1
01-01-2017,1,90,7,1,1,32,2,1
01-01-2017,2,90,1,2,2,45,3,3
01-01-2017,2,90,1,9,-1,33,3,1
01-01-2017,2,90,1,9,2,18,3,1
01-01-2017,2,90,4,1,1,25,3,1
01-01-2017,2,90,4,1,2,25,3,1
01-01-2017,2,90,4,2,2,28,2,4
01-01-2017,2,40,1,1,1,35,3,2
01-01-2017,2,20,4,1,2,21,3,1
01-01-2017,2,20,4,2,2,7,2,1
01-01-2017,2,90,1,1,1,46,3,1
01-01-2017,2,90,1,2,2,12,3,2
01-01-2017,2,90,4,2,2,37,2,3
01-01-2017,2,40,1,8,1,10,3,1
01-01-2017,2,40,4,1,2,38,3,2
01-01-2017,2,40,4,2,2,5,2,1
01-01-2017,2,50,4,1,1,9,3,1
01-01-2017,2,50,4,1,2,42,3,1
01-01-2017,2,70,1,1,1,47,3,1
01-01-2017,2,70,1,1,2,38,3,1
01-01-2017,2,70,1,2,2,38,3,1
01-01-2017,2,70,4,1,2,11,3,1
01-01-2017,2,70,4,2,2,8,3,1
01-01-2017,2,20,4,1,1,36,3,1
01-01-2017,2,20,4,2,2,41,3,1
01-01-2017,2,90,1,1,1,18,3,9
01-01-2017,2,90,1,1,2,46,3,5
01-01-2017,2,90,1,2,2,3,3,9
01-01-2017,2,90,4,1,1,37,3,6
01-01-2017,2,90,4,1,2,34,3,9
01-01-2017,2,90,4,2,2,29,3,21
01-01-2017,2,90,4,3,2,16,2,1
01-01-2017,2,90,4,9,-1,34,2,2
01-01-2017,2,90,6,2,2,25,3,1
01-01-2017,2,90,7,1,1,22,3,1
01-01-2017,2,40,1,1,1,8,3,1
01-01-2017,2,40,1,1,2,39,3,1
01-01-2017,2,40,1,2,2,7,3,1
01-01-2017,2,40,4,1,1,6,2,2
01-01-2017,2,40,6,1,1,7,3,1
01-01-2017,2,50,6,1,2,47,3,1
01-01-2017,2,60,1,1,1,35,3,1
01-01-2017,2,60,1,2,2,6,3,3
01-01-2017,2,60,1,5,2,1,3,1
01-01-2017,2,60,6,1,2,14,3,2
01-01-2017,2,60,6,5,2,42,2,1
01-01-2017,2,20,7,9,-1,49,2,1
01-01-2017,3,90,1,2,2,2,3,1
01-01-2017,3,70,6,1,1,10,3,2
01-01-2017,3,20,4,2,2,45,3,1
01-01-2017,3,90,1,1,1,49,3,3
01-01-2017,3,90,1,2,2,41,3,2
01-01-2017,3,90,4,1,1,47,2,5
01-01-2017,3,90,4,1,2,18,3,2
01-01-2017,3,90,4,1,4,42,3,1
01-01-2017,3,90,4,2,2,23,3,2
01-01-2017,3,60,6,2,2,1,3,1
01-01-2017,4,90,4,2,2,40,3,1
01-01-2017,7,70,6,3,3,17,3,1
01-02-2017,1,90,4,2,2,27,3,1
01-02-2017,1,90,7,2,2,17,3,1
01-02-2017,1,60,1,1,2,27,3,1
01-02-2017,1,90,1,1,1,7,3,4
01-02-2017,1,90,4,1,1,38,3,1
01-02-2017,1,90,4,8,2,35,3,1
01-02-2017,1,90,1,1,1,24,3,2
01-02-2017,1,90,1,2,2,14,3,1
